municipality,primary_county,population_est_2022,median_income,latitude,longitude,coordinates,east_west,municipality_profile
Rice,Navarro,1236,51015,32.2437586,-96.4985966,"[32.2437586, -96.4985966]",east,https://directory.tml.org/profile/city/1519
Kempner,Lampasas,1235,64401,31.081007,-98.0025249,"[31.081007, -98.0025249]",east,https://directory.tml.org/profile/city/591
La Vernia,Wilson,1233,78794,29.356348,-98.1155633,"[29.356348, -98.1155633]",east,https://directory.tml.org/profile/city/1040
Martindale,Caldwell,1225,60063,29.8454994,-97.8408364,"[29.8454994, -97.8408364]",east,https://directory.tml.org/profile/city/1659
La Grulla,Starr,1207,33535,26.2695148,-98.6472456,"[26.2695148, -98.6472456]",east,https://directory.tml.org/profile/city/1928
Blue Ridge,Collin,1199,102119,33.2978909,-96.4016498,"[33.2978909, -96.4016498]",east,https://directory.tml.org/profile/city/1341
Oyster Creek,Brazoria,1199,82165,29.0030239,-95.3318823,"[29.0030239, -95.3318823]",east,https://directory.tml.org/profile/city/739
Florence,Williamson,1196,96653,30.8412954,-97.7936268,"[30.8412954, -97.7936268]",east,https://directory.tml.org/profile/city/1078
Von Ormy,Bexar,1195,63014,29.2799247,-98.6539275,"[29.2799247, -98.6539275]",east,https://directory.tml.org/profile/city/42012
Cut and Shoot,Montgomery,1185,87831,30.3332654,-95.357994,"[30.3332654, -95.357994]",east,https://directory.tml.org/profile/city/1599
Granger,Williamson,1185,96653,30.7176929,-97.44278,"[30.7176929, -97.44278]",east,https://directory.tml.org/profile/city/1127
Orange Grove,Jim Wells,1185,43852,27.9566843,-97.9369447,"[27.9566843, -97.9369447]",east,https://directory.tml.org/profile/city/735
La Coste,Medina,1169,62907,29.309388,-98.8114707,"[29.309388, -98.8114707]",east,https://directory.tml.org/profile/city/610
Rio Vista,Johnson,1168,76226,32.2334808,-97.3744605,"[32.2334808, -97.3744605]",east,https://directory.tml.org/profile/city/809
Benavides,Duval,1160,37921,27.5989194,-98.4080661,"[27.5989194, -98.4080661]",east,https://directory.tml.org/profile/city/32
Ore City,Upshur,1155,51634,32.8001354,-94.7207634,"[32.8001354, -94.7207634]",east,https://directory.tml.org/profile/city/736
Eustace,Henderson,1150,50348,32.3070902,-96.0066353,"[32.3070902, -96.0066353]",east,https://directory.tml.org/profile/city/1065
Bogata,Red River,1087,46134,33.4706655,-95.2138351,"[33.4706655, -95.2138351]",east,https://directory.tml.org/profile/city/1344
Jamaica Beach,Galveston,1066,77627,29.189684,-94.9796456,"[29.189684, -94.9796456]",east,https://directory.tml.org/profile/city/987
Marion,Guadalupe,1066,80145,29.5709655,-98.1420491,"[29.5709655, -98.1420491]",east,https://directory.tml.org/profile/city/867
Ames,Liberty,1064,57174,30.0538261,-94.7435327,"[30.0538261, -94.7435327]",east,https://directory.tml.org/profile/city/1437
Southmayd,Grayson,1063,62678,33.6303847,-96.7691635,"[33.6303847, -96.7691635]",east,https://directory.tml.org/profile/city/1809
Riesel,McLennan,1058,58524,31.4748925,-96.9233257,"[31.4748925, -96.9233257]",east,https://directory.tml.org/profile/city/1786
Bevil Oaks,Jefferson,1045,55575,30.1502123,-94.2696305,"[30.1502123, -94.2696305]",east,https://directory.tml.org/profile/city/35
Daisetta,Liberty,1039,57174,30.1132688,-94.642975,"[30.1132688, -94.642975]",east,https://directory.tml.org/profile/city/1225
Hemphill,Sabine,1031,46233,31.3417042,-93.8479108,"[31.3417042, -93.8479108]",east,https://directory.tml.org/profile/city/1156
Seadrift,Calhoun,997,70662,28.4152807,-96.7135933,"[28.4152807, -96.7135933]",east,https://directory.tml.org/profile/city/644
Timpson,Shelby,996,43244,31.9060697,-94.3971134,"[31.9060697, -94.3971134]",east,https://directory.tml.org/profile/city/723
Lakeport,Gregg,987,57608,32.4090405,-94.7052099,"[32.4090405, -94.7052099]",east,https://directory.tml.org/profile/city/1027
New London,Rusk,976,53186,32.2387667,-94.9404949,"[32.2387667, -94.9404949]",east,https://directory.tml.org/profile/city/929
Maud,Bowie,973,52934,33.3329014,-94.3426964,"[33.3329014, -94.3426964]",east,https://directory.tml.org/profile/city/873
Calvert,Robertson,965,50816,30.9779651,-96.6738627,"[30.9779651, -96.6738627]",east,https://directory.tml.org/profile/city/1377
Tom Bean,Grayson,964,62678,33.5201081,-96.4838749,"[33.5201081, -96.4838749]",east,https://directory.tml.org/profile/city/726
Mustang Ridge,Travis,962,84519,30.0568828,-97.6911124,"[30.0568828, -97.6911124]",east,https://directory.tml.org/profile/city/579
New Waverly,Walker,956,43012,30.5377007,-95.483276,"[30.5377007, -95.483276]",east,https://directory.tml.org/profile/city/932
Arp,Smith,954,62903,32.2254332,-95.0577207,"[32.2254332, -95.0577207]",east,https://directory.tml.org/profile/city/1296
Waelder,Gonzales,948,48164,29.6952312,-97.2986015,"[29.6952312, -97.2986015]",east,https://directory.tml.org/profile/city/532
Hill Country Village,Bexar,946,63014,29.5865734,-98.4879281,"[29.5865734, -98.4879281]",east,https://directory.tml.org/profile/city/421
Maypearl,Ellis,942,87698,32.3114105,-97.0149292,"[32.3114105, -97.0149292]",east,https://directory.tml.org/profile/city/1968
East Mountain,Upshur,935,51634,32.5937539,-94.8554918,"[32.5937539, -94.8554918]",east,https://directory.tml.org/profile/city/1261
Omaha,Morris,935,44957,33.180677,-94.7440964,"[33.180677, -94.7440964]",east,https://directory.tml.org/profile/city/949
Centerville,Leon,932,51582,31.2579584,-95.978292,"[31.2579584, -95.978292]",east,https://directory.tml.org/profile/city/1172
Red Lick,Bowie,931,52934,33.4834802,-94.1641741,"[33.4834802, -94.1641741]",east,https://directory.tml.org/profile/city/1505
Groveton,Trinity,922,46569,31.0553605,-95.1266751,"[31.0553605, -95.1266751]",east,https://directory.tml.org/profile/city/1679
Pineland,Sabine,898,46233,31.2507519,-93.9734065,"[31.2507519, -93.9734065]",east,https://directory.tml.org/profile/city/763
East Tawakoni,Rains,883,57294,32.8842886,-95.9291335,"[32.8842886, -95.9291335]",east,https://directory.tml.org/profile/city/1262
Bremond,Robertson,872,50816,31.1651817,-96.6769217,"[31.1651817, -96.6769217]",east,https://directory.tml.org/profile/city/1355
New Summerfield,Cherokee,871,48664,31.9807226,-95.0938322,"[31.9807226, -95.0938322]",east,https://directory.tml.org/profile/city/930
Thrall,Williamson,861,96653,30.5904772,-97.2969402,"[30.5904772, -97.2969402]",east,https://directory.tml.org/profile/city/719
Trinidad,Henderson,856,50348,32.1440417,-96.0910813,"[32.1440417, -96.0910813]",east,https://directory.tml.org/profile/city/730
Coldspring,San Jacinto,854,52302,30.592606,-95.1293175,"[30.592606, -95.1293175]",east,https://directory.tml.org/profile/city/70
Redwater,Bowie,847,52934,33.3581802,-94.2543607,"[33.3581802, -94.2543607]",east,https://directory.tml.org/profile/city/588
Celeste,Hunt,843,58326,33.2942917,-96.1952061,"[33.2942917, -96.1952061]",east,https://directory.tml.org/profile/city/1171
Walnut Springs,Bosque,842,56041,32.0576479,-97.749471,"[32.0576479, -97.749471]",east,https://directory.tml.org/profile/city/535
Hardin,Liberty,828,57174,30.1524348,-94.739089,"[30.1524348, -94.739089]",east,https://directory.tml.org/profile/city/1893
Garrison,Nacogdoches,819,46970,31.8240279,-94.4908377,"[31.8240279, -94.4908377]",east,https://directory.tml.org/profile/city/1103
Hilshire Village,Harris,808,63539,29.7907833,-95.4891081,"[29.7907833, -95.4891081]",east,https://directory.tml.org/profile/city/952
Jewett,Leon,808,51582,31.3615664,-96.1441315,"[31.3615664, -96.1441315]",east,https://directory.tml.org/profile/city/991
Santa Clara,Guadalupe,807,80145,29.5755755,-98.1660074,"[29.5755755, -98.1660074]",east,https://directory.tml.org/profile/city/470
Trenton,Fannin,796,56794,33.4306652,-96.3385926,"[33.4306652, -96.3385926]",east,https://directory.tml.org/profile/city/729
Knollwood,Grayson,790,62678,33.6895497,-96.6191596,"[33.6895497, -96.6191596]",east,https://directory.tml.org/profile/city/1672
Clarksville City,Gregg,778,57608,32.5295896,-94.9029937,"[32.5295896, -94.9029937]",east,https://directory.tml.org/profile/city/1183
Point,Rains,777,57294,32.9315089,-95.8713542,"[32.9315089, -95.8713542]",east,https://directory.tml.org/profile/city/903
Valley View,Cooke,777,58060,33.4881671,-97.1650128,"[33.4881671, -97.1650128]",east,https://directory.tml.org/profile/city/522
Log Cabin,Henderson,771,50348,32.2223716,-96.0219132,"[32.2223716, -96.0219132]",east,https://directory.tml.org/profile/city/583
Ector,Fannin,770,56794,33.5773281,-96.2733145,"[33.5773281, -96.2733145]",east,https://directory.tml.org/profile/city/1263
Lone Oak,Hunt,742,58326,32.9968197,-95.9401641,"[32.9968197, -95.9401641]",east,https://directory.tml.org/profile/city/427
